Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),PLENUM-1:Zone Total Internal Total Heating Rate [W](TimeStep),SPACE1-1:Zone Total Internal Total Heating Rate [W](TimeStep),SPACE2-1:Zone Total Internal Total Heating Rate [W](TimeStep),SPACE3-1:Zone Total Internal Total Heating Rate [W](TimeStep),SPACE4-1:Zone Total Internal Total Heating Rate [W](TimeStep),SPACE5-1:Zone Total Internal Total Heating Rate [W](TimeStep),SPACE1-1:Zone People Occupant Count [](TimeStep),SPACE2-1:Zone People Occupant Count [](TimeStep),SPACE3-1:Zone People Occupant Count [](TimeStep),SPACE4-1:Zone People Occupant Count [](TimeStep),SPACE5-1:Zone People Occupant Count [](TimeStep),SPACE1-1:Zone Lights Total Heating Energy [J](TimeStep),SPACE2-1:Zone Lights Total Heating Energy [J](TimeStep),SPACE3-1:Zone Lights Total Heating Energy [J](TimeStep),SPACE4-1:Zone Lights Total Heating Energy [J](TimeStep),SPACE5-1:Zone Lights Total Heating Energy [J](TimeStep),FRONT-1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),PLENUM-1:Zone Air Heat Balance Air Energy Storage Rate [W](TimeStep),SPACE1-1:Zone Air Heat Balance Air Energy Storage Rate [W](TimeStep),SPACE2-1:Zone Air Heat Balance Air Energy Storage Rate [W](TimeStep),SPACE3-1:Zone Air Heat Balance Air Energy Storage Rate [W](TimeStep),SPACE4-1:Zone Air Heat Balance Air Energy Storage Rate [W](TimeStep),SPACE5-1:Zone Air Heat Balance Air Energy Storage Rate [W](TimeStep),PLENUM-1:Zone Air System Sensible Heating Rate [W](TimeStep),PLENUM-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air System Sensible Heating Rate [W](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Air System Sensible Heating Rate [W](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Air System Sensible Heating Rate [W](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Air System Sensible Heating Rate [W](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Air System Sensible Heating Rate [W](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep),SPACE1-1 BASEBOARD:Baseboard Total Heating Rate [W](TimeStep),SPACE3-1 BASEBOARD:Baseboard Total Heating Rate [W](TimeStep) 
 01/21  01:00:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,0.0,-5.933452962026691E-002,-2.912229825395710E-002,7.094516821900739E-006,-1.649190806891391E-002,7.450549299542385E-006,2.610741853223889E-005,2749.1902616993,17.4871027774461,2882.12939357846,22.3037850529716,1192.41833931559,22.0037855179686,2782.18350674958,22.3001972003468,1182.08720637391,22.0037854270045,1682.82276949966,22.0146429138341,3414.75883486737,3296.45053382298 
 01/21  02:00:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,0.0,-4.871567098840251E-002,-2.534660496883141E-002,2.176678142055720E-006,-1.799450772683893E-002,2.283716310666451E-006,1.160141444507093E-005,2749.43855111464,17.4865822085368,2882.09071809698,22.3035022720724,1192.43837090349,22.0037856116291,2782.13632233976,22.2999908694304,1182.10724582739,22.0037855252708,1682.93800416547,22.0146429937952,3414.7604897737,3296.45111360825 
 01/21  03:00:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,0.0,-3.997387385897215E-002,-2.119659853779764E-002,1.047812433383818E-006,-1.676250272608700E-002,1.077971584443982E-006,8.624494883074279E-006,2749.63443175082,17.486155053888,2882.05948921547,22.3032657911549,1192.45494291799,22.0037856567155,2782.10049306967,22.2997986652118,1182.1238241659,22.0037855716549,1683.03326762238,22.0146430532383,3414.76186061883,3296.45187796316 
 01/21  04:00:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,0.0,-3.280004973656127E-002,-1.755182075805753E-002,6.887501390520946E-007,-1.485506748943771E-002,6.978475227810371E-007,6.739573072036104E-006,2749.79198738719,17.4858045580396,2882.03399040805,22.3030699735138,1192.4686096544,22.0037856863518,2782.07258475017,22.299628332354,1182.13749613546,22.0037856016826,1683.11158809266,22.0146430996899,3414.76290066915,3296.4525452863 
 01/21  05:00:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,0.0,-2.693220208052381E-002,-1.440607221142891E-002,5.172142102074418E-007,-1.272723376858913E-002,5.206358847210007E-007,5.345451674791758E-006,2749.91971980787,17.4855167653154,2882.01301699081,22.3029092516386,1192.47986518573,22.0037857086071,2782.05041106075,22.2994823979763,1182.14875597706,22.0037856240851,1683.17592955437,22.0146431365327,3414.76369782065,3296.45310928676 
 01/21  06:00:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,0.0,-2.212149197031434E-002,-1.177599649407159E-002,4.098300933448925E-007,-1.070021452449228E-002,4.115801491989290E-007,4.312606197799304E-006,2750.02395640492,17.4852803791766,2881.99569694562,22.3027778723585,1192.48912381386,22.0037857262417,2782.0325506733,22.2993597060758,1182.15801813863,22.0037856417951,1683.22876633102,22.0146431662567,3414.76432381816,3296.45358934098 
 01/21  07:00:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,0.0,9.664922175811391E-002,1.7562396462431,4.848052583129829E-003,1.51462951195126,4.814982073725549E-003,0.126175632085613,2749.38193264828,17.4863131584108,2881.36881050832,22.3223727154013,1192.47521034032,22.0039943337171,2780.54103644222,22.3167279277361,1182.14351738685,22.0039928262742,1683.14266758527,22.0155128167084,3632.79671172694,3505.99637688799 
 01/21  08:00:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,0.0,0.224371833357763,3.469340981577367E-002,2.880844265199564E-004,2.292318254902033E-002,3.123891481156416E-004,-2.785940927690425E-003,2752.46355569572,17.488710782289,2864.56615872204,22.3227597997107,1192.13614186075,22.0040067297392,2764.92075736249,22.3169907875752,1181.80502428283,22.0040062681074,1680.1176720453,22.015493614945,3616.04013342197,3490.40633082995 
 01/21  09:00:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,0.0,0.168231088801278,-5.088195809841108E-002,1.363188098570876E-005,-3.678813045889313E-002,2.044831770776959E-005,-7.760872223317989E-004,2751.47394053872,17.4905085006765,2864.51891917237,22.3221920962226,1191.98368651271,22.0040073163072,2764.862694436,22.3165689391592,1181.65237393384,22.0040071479807,1679.32420235842,22.0154882658571,3615.92532183324,3490.29974869098 
 01/21  10:00:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,0.0,0.122989059563258,5.727565064255583E-002,-1.444822814957990E-005,5.815275292102778E-002,-1.287625538898522E-005,-2.734811462652182E-004,2750.57804426469,17.4918227684211,2864.40618653031,22.3228311372146,1191.89511183504,22.0040066946125,2764.75274558881,22.3172357765811,1181.56377830968,22.0040065939266,1678.77322217678,22.0154863809212,3615.88865231881,3490.26649665102 
