Time,VAV SYS 1:Des Heat Mass Flow [kg/s],VAV SYS 1:Des Cool Mass Flow [kg/s],VAV SYS 1:Des Heat Cap [W],VAV SYS 1:Des Sens Cool Cap [W] 
01:00:00,6.652556E-01,5.772183E-01,1.837811E+04,5.545017E+03 
02:00:00,6.652557E-01,5.772183E-01,1.837811E+04,5.301408E+03 
03:00:00,6.652558E-01,5.772183E-01,1.837811E+04,5.118701E+03 
04:00:00,6.652559E-01,5.772183E-01,1.837811E+04,4.935993E+03 
05:00:00,6.652560E-01,5.772183E-01,1.837811E+04,4.814189E+03 
06:00:00,6.652561E-01,5.772183E-01,1.837811E+04,4.935993E+03 
07:00:00,6.652562E-01,5.772183E-01,1.837811E+04,5.362310E+03 
08:00:00,6.652562E-01,6.589250E-01,1.837811E+04,7.211119E+03 
09:00:00,6.652563E-01,1.044926E+00,1.837811E+04,1.274618E+04 
10:00:00,6.652564E-01,1.526889E+00,1.837811E+04,1.925614E+04 
11:00:00,6.652564E-01,1.648315E+00,1.837811E+04,2.155329E+04 
12:00:00,6.652565E-01,1.573555E+00,1.837811E+04,2.132274E+04 
13:00:00,6.652565E-01,1.320741E+00,1.837811E+04,1.896624E+04 
14:00:00,6.652566E-01,1.549058E+00,1.837811E+04,2.183989E+04 
15:00:00,6.652566E-01,1.706869E+00,1.837811E+04,2.361480E+04 
16:00:00,6.652567E-01,1.736766E+00,1.837811E+04,2.358488E+04 
17:00:00,6.652567E-01,1.668825E+00,1.837811E+04,2.233291E+04 
18:00:00,6.652568E-01,1.622434E+00,1.837811E+04,2.120168E+04 
19:00:00,6.652568E-01,9.109003E-01,1.837811E+04,1.228338E+04 
20:00:00,6.652568E-01,6.110360E-01,1.837811E+04,8.239865E+03 
21:00:00,6.652569E-01,5.772183E-01,1.837811E+04,7.311187E+03 
22:00:00,6.652569E-01,5.772183E-01,1.837811E+04,6.763065E+03 
23:00:00,6.652569E-01,5.772183E-01,1.837811E+04,6.336748E+03 
24:00:00,6.652570E-01,5.772183E-01,1.837811E+04,5.910432E+03 
Coinc Peak   ,6.652570E-01,1.736766E+00,1.837811E+04,2.576132E+04 
NonCoinc Peak,6.652570E-01,1.963388E+00,1.837811E+04,2.576132E+04 
