Time,SPACE1-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],SPACE1-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],SPACE1-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],SPACE1-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],SPACE2-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],SPACE2-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],SPACE2-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],SPACE2-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],SPACE3-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],SPACE3-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],SPACE3-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],SPACE3-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],SPACE4-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],SPACE4-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],SPACE4-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],SPACE4-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],SPACE5-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],SPACE5-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],SPACE5-1:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],SPACE5-1:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s] 
01:00:00,3.615011E+03,0.000000E+00,1.266044E-01,0.000000E+00,1.317278E+03,0.000000E+00,4.613294E-02,0.000000E+00,3.496374E+03,0.000000E+00,1.224494E-01,0.000000E+00,1.307021E+03,0.000000E+00,4.577373E-02,0.000000E+00,2.383083E+03,0.000000E+00,8.345878E-02,0.000000E+00 
02:00:00,3.615012E+03,0.000000E+00,1.266044E-01,0.000000E+00,1.317278E+03,0.000000E+00,4.613295E-02,0.000000E+00,3.496375E+03,0.000000E+00,1.224494E-01,0.000000E+00,1.307021E+03,0.000000E+00,4.577374E-02,0.000000E+00,2.383084E+03,0.000000E+00,8.345883E-02,0.000000E+00 
03:00:00,3.615013E+03,0.000000E+00,1.266045E-01,0.000000E+00,1.317278E+03,0.000000E+00,4.613296E-02,0.000000E+00,3.496375E+03,0.000000E+00,1.224495E-01,0.000000E+00,1.307021E+03,0.000000E+00,4.577374E-02,0.000000E+00,2.383085E+03,0.000000E+00,8.345887E-02,0.000000E+00 
04:00:00,3.615014E+03,0.000000E+00,1.266045E-01,0.000000E+00,1.317278E+03,0.000000E+00,4.613296E-02,0.000000E+00,3.496376E+03,0.000000E+00,1.224495E-01,0.000000E+00,1.307021E+03,0.000000E+00,4.577375E-02,0.000000E+00,2.383086E+03,0.000000E+00,8.345892E-02,0.000000E+00 
05:00:00,3.615014E+03,0.000000E+00,1.266045E-01,0.000000E+00,1.317279E+03,0.000000E+00,4.613297E-02,0.000000E+00,3.496377E+03,0.000000E+00,1.224495E-01,0.000000E+00,1.307022E+03,0.000000E+00,4.577376E-02,0.000000E+00,2.383088E+03,0.000000E+00,8.345896E-02,0.000000E+00 
06:00:00,3.615015E+03,0.000000E+00,1.266045E-01,0.000000E+00,1.317279E+03,0.000000E+00,4.613298E-02,0.000000E+00,3.496378E+03,0.000000E+00,1.224495E-01,0.000000E+00,1.307022E+03,0.000000E+00,4.577377E-02,0.000000E+00,2.383089E+03,0.000000E+00,8.345899E-02,0.000000E+00 
07:00:00,3.615016E+03,0.000000E+00,1.266046E-01,0.000000E+00,1.317279E+03,2.995939E+02,4.613299E-02,2.950689E-02,3.496378E+03,1.355540E+02,1.224496E-01,1.333356E-02,1.307022E+03,0.000000E+00,4.577377E-02,0.000000E+00,2.383090E+03,0.000000E+00,8.345903E-02,0.000000E+00 
08:00:00,3.615016E+03,0.000000E+00,1.266046E-01,0.000000E+00,1.317279E+03,1.075962E+03,4.613299E-02,1.055450E-01,3.496379E+03,7.231567E+02,1.224496E-01,7.138544E-02,1.307022E+03,0.000000E+00,4.577378E-02,0.000000E+00,2.383091E+03,0.000000E+00,8.345906E-02,0.000000E+00 
09:00:00,3.615017E+03,9.789754E+02,1.266046E-01,9.724330E-02,1.317279E+03,2.321322E+03,4.613300E-02,2.276915E-01,3.496379E+03,2.518202E+03,1.224496E-01,2.470158E-01,1.307022E+03,6.165001E+02,4.577378E-02,6.106368E-02,2.383091E+03,8.286982E+02,8.345909E-02,8.225892E-02 
10:00:00,3.615017E+03,2.242070E+03,1.266046E-01,2.206134E-01,1.317279E+03,2.679587E+03,4.613300E-02,2.628558E-01,3.496380E+03,2.826433E+03,1.224496E-01,2.772608E-01,1.307022E+03,1.116892E+03,4.577379E-02,1.096126E-01,2.383092E+03,3.085792E+03,8.345912E-02,3.041878E-01 
11:00:00,3.615018E+03,2.547159E+03,1.266046E-01,2.499158E-01,1.317280E+03,2.583048E+03,4.613301E-02,2.533978E-01,3.496380E+03,2.887313E+03,1.224496E-01,2.832459E-01,1.307023E+03,1.304371E+03,4.577380E-02,1.279762E-01,2.383093E+03,3.601434E+03,8.345915E-02,3.533992E-01 
12:00:00,3.615018E+03,2.605476E+03,1.266047E-01,2.555922E-01,1.317280E+03,2.151331E+03,4.613301E-02,2.110361E-01,3.496381E+03,2.761781E+03,1.224497E-01,2.709187E-01,1.307023E+03,1.312546E+03,4.577380E-02,1.287681E-01,2.383094E+03,3.507845E+03,8.345918E-02,3.441121E-01 
13:00:00,3.615019E+03,2.358159E+03,1.266047E-01,2.313045E-01,1.317280E+03,1.575250E+03,4.613302E-02,1.545088E-01,3.496381E+03,2.413955E+03,1.224497E-01,2.367755E-01,1.307023E+03,1.190754E+03,4.577380E-02,1.168028E-01,2.383094E+03,2.819491E+03,8.345920E-02,2.765630E-01 
14:00:00,3.615019E+03,2.815151E+03,1.266047E-01,2.761236E-01,1.317280E+03,1.545666E+03,4.613302E-02,1.516087E-01,3.496382E+03,2.802341E+03,1.224497E-01,2.748672E-01,1.307023E+03,1.474334E+03,4.577381E-02,1.446193E-01,2.383095E+03,3.510701E+03,8.345922E-02,3.443643E-01 
15:00:00,3.615020E+03,3.086190E+03,1.266047E-01,3.027256E-01,1.317280E+03,1.574516E+03,4.613303E-02,1.544528E-01,3.496382E+03,2.987099E+03,1.224497E-01,2.930054E-01,1.307023E+03,1.870496E+03,4.577381E-02,1.834977E-01,2.383096E+03,3.866511E+03,8.345924E-02,3.792948E-01 
16:00:00,3.615020E+03,3.091051E+03,1.266047E-01,3.032242E-01,1.317280E+03,1.474973E+03,4.613303E-02,1.447027E-01,3.496383E+03,2.880371E+03,1.224497E-01,2.825568E-01,1.307023E+03,2.373061E+03,4.577382E-02,2.328083E-01,2.383096E+03,3.798750E+03,8.345926E-02,3.726820E-01 
17:00:00,3.615020E+03,2.902378E+03,1.266047E-01,2.847251E-01,1.317280E+03,1.326753E+03,4.613303E-02,1.301652E-01,3.496383E+03,2.624425E+03,1.224497E-01,2.574570E-01,1.307023E+03,2.688951E+03,4.577382E-02,2.638015E-01,2.383097E+03,3.542539E+03,8.345928E-02,3.475627E-01 
18:00:00,3.615021E+03,2.705187E+03,1.266047E-01,2.653871E-01,1.317280E+03,1.232897E+03,4.613304E-02,1.209603E-01,3.496383E+03,2.471305E+03,1.224497E-01,2.424414E-01,1.307023E+03,2.771651E+03,4.577382E-02,2.719185E-01,2.383097E+03,3.539917E+03,8.345930E-02,3.473187E-01 
19:00:00,3.615021E+03,1.467920E+03,1.266048E-01,1.440009E-01,1.317281E+03,6.896152E+02,4.613304E-02,6.765509E-02,3.496384E+03,1.304363E+03,1.224497E-01,1.279563E-01,1.307024E+03,1.849675E+03,4.577383E-02,1.814577E-01,2.383098E+03,1.830796E+03,8.345932E-02,1.796226E-01 
20:00:00,3.615021E+03,4.380130E+02,1.266048E-01,4.295924E-02,1.317281E+03,2.400857E+02,4.613304E-02,2.354792E-02,3.496384E+03,3.407147E+02,1.224498E-01,3.341627E-02,1.307024E+03,7.005159E+02,4.577383E-02,6.870732E-02,2.383098E+03,4.353741E+02,8.345933E-02,4.270149E-02 
21:00:00,3.615022E+03,0.000000E+00,1.266048E-01,0.000000E+00,1.317281E+03,4.238303E+01,4.613305E-02,4.156513E-03,3.496384E+03,0.000000E+00,1.224498E-01,0.000000E+00,1.307024E+03,2.719723E+02,4.577383E-02,2.667257E-02,2.383099E+03,0.000000E+00,8.345935E-02,0.000000E+00 
22:00:00,3.615022E+03,0.000000E+00,1.266048E-01,0.000000E+00,1.317281E+03,0.000000E+00,4.613305E-02,0.000000E+00,3.496384E+03,0.000000E+00,1.224498E-01,0.000000E+00,1.307024E+03,0.000000E+00,4.577384E-02,0.000000E+00,2.383099E+03,0.000000E+00,8.345936E-02,0.000000E+00 
23:00:00,3.615022E+03,0.000000E+00,1.266048E-01,0.000000E+00,1.317281E+03,0.000000E+00,4.613305E-02,0.000000E+00,3.496385E+03,0.000000E+00,1.224498E-01,0.000000E+00,1.307024E+03,0.000000E+00,4.577384E-02,0.000000E+00,2.383100E+03,0.000000E+00,8.345938E-02,0.000000E+00 
24:00:00,3.615022E+03,0.000000E+00,1.266048E-01,0.000000E+00,1.317281E+03,0.000000E+00,4.613305E-02,0.000000E+00,3.496385E+03,0.000000E+00,1.224498E-01,0.000000E+00,1.307024E+03,0.000000E+00,4.577384E-02,0.000000E+00,2.383100E+03,0.000000E+00,8.345939E-02,0.000000E+00 
Peak,3.615022E+03,3.091051E+03,1.266048E-01,3.032242E-01,1.317281E+03,2.679587E+03,4.613305E-02,2.628558E-01,3.496385E+03,2.987099E+03,1.224498E-01,2.930054E-01,1.307024E+03,2.771651E+03,4.577384E-02,2.719185E-01,2.383100E+03,3.866511E+03,8.345939E-02,3.792948E-01 

Peak Vol Flow (m3/s),,,1.076677E-01,2.578690E-01,,,3.923263E-02,2.235388E-01,,,1.041342E-01,2.491787E-01,,,3.892715E-02,2.312459E-01,,,7.097583E-02,3.225612E-01 
