Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Relative Humidity [%](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Wind Direction [deg](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),SPACE1-1:Zone People Occupant Count [](Hourly),SPACE2-1:Zone People Occupant Count [](Hourly),SPACE3-1:Zone People Occupant Count [](Hourly),SPACE4-1:Zone People Occupant Count [](Hourly),SPACE5-1:Zone People Occupant Count [](Hourly),SPACE1-1:Zone Lights Total Heating Energy [J](Hourly),SPACE2-1:Zone Lights Total Heating Energy [J](Hourly),SPACE3-1:Zone Lights Total Heating Energy [J](Hourly),SPACE4-1:Zone Lights Total Heating Energy [J](Hourly),SPACE5-1:Zone Lights Total Heating Energy [J](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly),SPACE1-1 BASEBOARD:Baseboard Total Heating Rate [W](Hourly),SPACE3-1 BASEBOARD:Baseboard Total Heating Rate [W](Hourly) 
 01/21  01:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.4852629048904,22.1512433322555,22.0002193509266,22.1500384718304,22.0002193479182,22.0009537393148,3332.89945159595,3212.67581946615 
 01/21  02:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.4849936418581,22.1510733690281,22.0002192868363,22.1504053887918,22.0002192843546,22.000953697447,3332.89993838901,3213.60652024021 
 01/21  03:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.4848556693082,22.1509680705669,22.0002192871173,22.1504919498282,22.0002192846049,22.0009536980836,3332.90028628066,3213.60561976599 
 01/21  04:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.484752628995,22.1509002498713,22.0002192874281,22.1504861034522,22.0002192849162,22.0009536985324,3332.90048591076,3213.60548518289 
 01/21  05:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.484679671291,22.1508549410978,22.0002192876621,22.1504661148259,22.0002192851507,22.0009536988911,3332.90061052093,3213.60546599104 
 01/21  06:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.484628229398,22.1508242777065,22.0002192878353,22.1504474862391,22.0002192853242,22.0009536991599,3332.90069073057,3213.60547739057 
 01/21  07:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.4873436203548,22.1612959330673,22.0002335773627,22.1597444321433,22.0002335408366,22.001015422977,3543.45597991807,3414.43793941178 
 01/21  08:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.4899913060125,22.1605661842035,22.0002342922443,22.1599826619179,22.0002342890163,22.0010151326969,3535.51533255376,3406.97033815116 
 01/21  09:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.4914914345112,22.1624280074072,22.0002345538032,22.1590235799926,22.0002345511361,22.00101534345,3535.5046407617,3405.12531902021 
 01/21  10:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.4926261524915,22.1634968007822,22.0002345471183,22.1596711784055,22.0002345444611,22.0010153315238,3535.49921588736,3405.1227291344 
 01/21  11:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.4933942885994,22.1627709489275,22.0002345920464,22.1601208510263,22.0002345893585,22.0010153257209,3534.5247320385,3405.12078311014 
 01/21  12:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.4938891647111,22.1628147328632,22.0002345897952,22.1603964646462,22.0002345871209,22.0010153221495,3534.5250045318,3405.11957388706 
 01/21  13:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.4942133930484,22.1622206030582,22.0002346309366,22.1605637493978,22.0002346279535,22.0010153227671,3533.55453840823,3405.11885149384 
 01/21  14:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.4944311122772,22.1624008872365,22.000234593669,22.1606656634171,22.0002345912134,22.001015317935,3534.52421477268,3405.11843220409 
 01/21  15:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.4945875953805,22.162708478379,22.0002345873288,22.1607290691277,22.0002345847284,22.0010153169821,3534.52468143548,3405.11816909226 
 01/21  16:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.4947044447812,22.1623101043046,22.0002346289579,22.1607691929035,22.000234625971,22.0010153197847,3533.55431797247,3405.11802045357 
 01/21  17:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.4947709995286,22.1624819251421,22.0002345922915,22.1607951637112,22.0002345898333,22.0010153158491,3534.52396483516,3405.11792676218 
 01/21  18:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.4948219630986,22.1627678078585,22.00023458638,22.1608118441311,22.0002345837777,22.0010153155499,3534.52448753123,3405.11785594848 
 01/21  19:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.4919774020958,22.1527130094492,22.0002198267392,22.1494247648552,22.0002198585452,22.0009527619084,3323.13596925343,3202.19762235176 
 01/21  20:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.4892424243747,22.1525515584124,22.0002194475657,22.1493052559506,22.0002194451987,22.0009538359604,3330.9434507707,3209.92571875186 
 01/21  21:00:00,-16.6,100.,4.9,270.,0.0,0.0,0.0,0.0,0.0,0.0,285120.,123120.,285120.,123120.,533520.,17.4878463995627,22.1533614235117,22.0002193484476,22.150732221968,22.000219345844,22.0009537193951,3332.8924171015,3212.67115628907 
