Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Environment:Site Wind Speed [m/s](TimeStep),Environment:Site Wind Direction [deg](TimeStep),Environment:Site Direct Solar Radiation Rate per Area [W/m2](TimeStep),PLENUM-1:Zone Total Internal Total Heating Rate [W](TimeStep),SPACE1-1:Zone Total Internal Total Heating Rate [W](TimeStep),SPACE2-1:Zone Total Internal Total Heating Rate [W](TimeStep),SPACE3-1:Zone Total Internal Total Heating Rate [W](TimeStep),SPACE4-1:Zone Total Internal Total Heating Rate [W](TimeStep),SPACE5-1:Zone Total Internal Total Heating Rate [W](TimeStep),SPACE1-1:Zone People Occupant Count [](TimeStep),SPACE2-1:Zone People Occupant Count [](TimeStep),SPACE3-1:Zone People Occupant Count [](TimeStep),SPACE4-1:Zone People Occupant Count [](TimeStep),SPACE5-1:Zone People Occupant Count [](TimeStep),SPACE1-1:Zone Lights Total Heating Energy [J](TimeStep),SPACE2-1:Zone Lights Total Heating Energy [J](TimeStep),SPACE3-1:Zone Lights Total Heating Energy [J](TimeStep),SPACE4-1:Zone Lights Total Heating Energy [J](TimeStep),SPACE5-1:Zone Lights Total Heating Energy [J](TimeStep),FRONT-1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),PLENUM-1:Zone Air Heat Balance Air Energy Storage Rate [W](TimeStep),SPACE1-1:Zone Air Heat Balance Air Energy Storage Rate [W](TimeStep),SPACE2-1:Zone Air Heat Balance Air Energy Storage Rate [W](TimeStep),SPACE3-1:Zone Air Heat Balance Air Energy Storage Rate [W](TimeStep),SPACE4-1:Zone Air Heat Balance Air Energy Storage Rate [W](TimeStep),SPACE5-1:Zone Air Heat Balance Air Energy Storage Rate [W](TimeStep),PLENUM-1:Zone Air System Sensible Heating Rate [W](TimeStep),PLENUM-1:Zone Air Temperature [C](TimeStep),SPACE1-1:Zone Air System Sensible Heating Rate [W](TimeStep),SPACE1-1:Zone Air Temperature [C](TimeStep),SPACE2-1:Zone Air System Sensible Heating Rate [W](TimeStep),SPACE2-1:Zone Air Temperature [C](TimeStep),SPACE3-1:Zone Air System Sensible Heating Rate [W](TimeStep),SPACE3-1:Zone Air Temperature [C](TimeStep),SPACE4-1:Zone Air System Sensible Heating Rate [W](TimeStep),SPACE4-1:Zone Air Temperature [C](TimeStep),SPACE5-1:Zone Air System Sensible Heating Rate [W](TimeStep),SPACE5-1:Zone Air Temperature [C](TimeStep),SPACE1-1 BASEBOARD:Baseboard Total Heating Rate [W](TimeStep),SPACE3-1 BASEBOARD:Baseboard Total Heating Rate [W](TimeStep) 
 01/21  00:15:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,71280.,30780.,71280.,30780.,133380.,0.0,-2.297200184338060E-002,-2.346653782603161E-002,6.640647082856604E-006,0.548427631261381,6.513158655229550E-006,-1.787494188245336E-004,2770.3283916374,17.4853493846822,2805.80858538904,22.1513168557308,1194.21285934782,22.0002192472806,2712.42499346248,22.1520950216095,1183.88220742917,22.0002192443913,1687.25685365162,22.0009534958519,3332.89918221939,3216.34030411634 
 01/21  00:30:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,71280.,30780.,71280.,30780.,133380.,0.0,-2.726460224578847E-003,-1.958110124282473E-002,1.724012196861136E-005,-1.03589394662788,1.713865945339376E-005,2.811811554612479E-004,2770.50842795688,17.4853421010693,2805.80810079981,22.1512622694434,1194.21292131298,22.0002194327351,2705.43977177583,22.1491270631178,1183.88227078504,22.0002194287544,1687.25355818976,22.0009539803298,3332.89938297896,3209.01522312593 
 01/21  00:45:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,71280.,30780.,71280.,30780.,133380.,0.0,-5.059669866836210E-002,-1.521640304773278E-002,-1.360467527934049E-005,0.50181759976289,-1.338812679655251E-005,-2.771772648915715E-004,2770.23682796465,17.4852069343813,2805.81260831109,22.1512198506427,1194.21678477804,22.0002192863876,2712.59002634272,22.1505648368039,1183.8861396841,22.0002192847363,1687.27755310827,22.0009535027506,3332.89957716827,3216.33435938693 
 01/21  01:00:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,71280.,30780.,71280.,30780.,133380.,0.0,-2.011897677064850E-002,-1.631986054673583E-002,1.402934617419630E-005,-0.767114404270223,1.385637787560336E-005,2.760150245908593E-004,2770.43213267891,17.4851531874961,2805.80204746097,22.1511743557381,1194.21945229928,22.0002194373033,2705.51044942301,22.1483669691001,1183.88880607917,22.0002194337914,1687.29363263431,22.0009539783273,3332.89966401651,3209.01339123486 
 01/21  01:15:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,71280.,30780.,71280.,30780.,133380.,0.0,-4.718721819899782E-002,-1.523594104999599E-002,-1.393931052185006E-005,0.654039182755084,-1.375655249313451E-005,-2.756858493823724E-004,2770.24612765279,17.4850271291519,2805.80093146475,22.1511318824839,1194.22462941931,22.0002192873561,2712.60776154233,22.1502408756659,1183.89398823623,22.0002192858102,1687.32603275893,22.0009535033178,3332.8998004315,3216.33588659926 
 01/21  01:30:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,71280.,30780.,71280.,30780.,133380.,0.0,-1.257654803108709E-002,-1.576471185834593E-002,-1.022814154487326E-005,6.080753515002959E-002,-1.022533825136342E-005,1.757548140436197E-004,2770.48019820804,17.4849935315232,2805.79124263683,22.1510879351812,1194.22736253114,22.0002191773305,2708.97157202637,22.1504150971951,1183.89672061227,22.0002191758147,1687.34090276761,22.0009538061451,3332.89985616479,3212.73451104362 
 01/21  01:45:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,71280.,30780.,71280.,30780.,133380.,0.0,-1.058612938582525E-002,-1.318320376804558E-002,6.630804840666927E-006,0.542820907911634,6.503371567378540E-006,-1.788381227386630E-004,2770.5123362746,17.4849652512027,2805.79184603743,22.1510511843557,1194.22891970029,22.0002192486591,2712.39178799503,22.1519703581758,1183.89827857068,22.0002192457724,1687.34688691425,22.0009534980052,3332.8999951765,3216.34035716551 
 01/21  02:00:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,71280.,30780.,71280.,30780.,133380.,0.0,8.756420839504881E-003,-1.029801236123802E-002,1.722954851856897E-005,-1.0383977230178,1.712806024264255E-005,2.810863090762799E-004,2770.67542312603,17.4849886435493,2805.79207126141,22.1510224765829,1194.22780186079,22.0002194339998,2705.41124773497,22.1489952273973,1183.89716097849,22.0002194300215,1687.33714354897,22.0009539823198,3332.90010178331,3209.01532615183 
 01/21  02:15:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,71280.,30780.,71280.,30780.,133380.,0.0,-3.997770272441934E-002,-6.878837347218505E-003,-1.361408817629361E-005,0.501780421299668,-1.339752318023289E-005,-2.772623954932076E-004,2770.38896957241,17.4848818451263,2805.79733483825,22.1510033004467,1194.2305653492,22.0002192875511,2712.56507134519,22.1504328939198,1183.8999289483,22.0002192859024,1687.35498122846,22.0009535045938,3332.90021508522,3216.33450232344 
 01/21  02:30:00,-16.6,100.,4.9,270.,0.0,0.0,290.4,125.4,290.4,125.4,543.4,0.0,0.0,0.0,0.0,0.0,71280.,30780.,71280.,30780.,133380.,0.0,-1.170362944607498E-002,-8.857080208226975E-003,-1.022242729118671E-005,1.988897064219705E-002,-1.021162529753576E-005,1.752261123153665E-004,2770.57348933168,17.484850579472,2805.78756161257,22.1509786095647,1194.23222572323,22.000219177587,2708.9448804852,22.1504898784325,1183.90158845658,22.0002191760544,1687.3652208167,22.0009538065102,3332.90023117928,3212.73321487911 
