Time,VAV SYS 1:Des Heat Mass Flow [kg/s],VAV SYS 1:Des Cool Mass Flow [kg/s],VAV SYS 1:Des Heat Cap [W],VAV SYS 1:Des Sens Cool Cap [W] 
00:15:00,6.652864E-01,5.772183E-01,1.837788E+04,5.819078E+03 
00:30:00,6.652864E-01,5.772183E-01,1.837788E+04,5.727725E+03 
00:45:00,6.652864E-01,5.772183E-01,1.837788E+04,5.636371E+03 
01:00:00,6.652864E-01,5.772183E-01,1.837788E+04,5.545017E+03 
01:15:00,6.652864E-01,5.772183E-01,1.837788E+04,5.484115E+03 
01:30:00,6.652864E-01,5.772183E-01,1.837788E+04,5.423213E+03 
01:45:00,6.652864E-01,5.772183E-01,1.837788E+04,5.362310E+03 
02:00:00,6.652864E-01,5.772183E-01,1.837788E+04,5.301408E+03 
02:15:00,6.652864E-01,5.772183E-01,1.837788E+04,5.255731E+03 
02:30:00,6.652864E-01,5.772183E-01,1.837788E+04,5.210054E+03 
02:45:00,6.652864E-01,5.772183E-01,1.837788E+04,5.164377E+03 
03:00:00,6.652864E-01,5.772183E-01,1.837788E+04,5.118701E+03 
03:15:00,6.652864E-01,5.772183E-01,1.837788E+04,5.073024E+03 
03:30:00,6.652864E-01,5.772183E-01,1.837788E+04,5.027347E+03 
03:45:00,6.652864E-01,5.772183E-01,1.837788E+04,4.981670E+03 
04:00:00,6.652864E-01,5.772183E-01,1.837788E+04,4.935993E+03 
04:15:00,6.652864E-01,5.772183E-01,1.837788E+04,4.905542E+03 
04:30:00,6.652864E-01,5.772183E-01,1.837788E+04,4.875091E+03 
04:45:00,6.652864E-01,5.772183E-01,1.837788E+04,4.844640E+03 
05:00:00,6.652864E-01,5.772183E-01,1.837788E+04,4.814189E+03 
05:15:00,6.652864E-01,5.772183E-01,1.837788E+04,4.844640E+03 
05:30:00,6.652864E-01,5.772183E-01,1.837788E+04,4.875091E+03 
05:45:00,6.652864E-01,5.772183E-01,1.837788E+04,4.905542E+03 
06:00:00,6.652864E-01,5.772183E-01,1.837788E+04,4.935993E+03 
06:15:00,6.652864E-01,5.772183E-01,1.837788E+04,5.042573E+03 
06:30:00,6.652864E-01,5.772183E-01,1.837788E+04,5.149152E+03 
06:45:00,6.652864E-01,5.772183E-01,1.837788E+04,5.255731E+03 
07:00:00,6.652864E-01,5.831308E-01,1.837788E+04,5.418836E+03 
07:15:00,6.652864E-01,6.084078E-01,1.837788E+04,5.924330E+03 
07:30:00,6.652864E-01,6.321027E-01,1.837788E+04,6.419995E+03 
07:45:00,6.652864E-01,6.538509E-01,1.837788E+04,6.900394E+03 
08:00:00,6.652864E-01,6.714474E-01,1.837788E+04,7.342533E+03 
08:15:00,6.652864E-01,7.467790E-01,1.837788E+04,8.442107E+03 
08:30:00,6.652864E-01,8.407290E-01,1.837788E+04,9.790227E+03 
08:45:00,6.652864E-01,9.397389E-01,1.837788E+04,1.123534E+04 
09:00:00,6.652864E-01,1.079903E+00,1.837788E+04,1.316631E+04 
09:15:00,6.652864E-01,1.241276E+00,1.837788E+04,1.527098E+04 
09:30:00,6.652864E-01,1.365560E+00,1.837788E+04,1.694268E+04 
09:45:00,6.652864E-01,1.471374E+00,1.837788E+04,1.839169E+04 
10:00:00,6.652864E-01,1.574523E+00,1.837788E+04,1.981080E+04 
10:15:00,6.652864E-01,1.608109E+00,1.837788E+04,2.041689E+04 
10:30:00,6.652864E-01,1.636033E+00,1.837788E+04,2.095962E+04 
10:45:00,6.652864E-01,1.659765E+00,1.837788E+04,2.145536E+04 
11:00:00,6.652864E-01,1.679228E+00,1.837788E+04,2.190306E+04 
11:15:00,6.652864E-01,1.661969E+00,1.837788E+04,2.186142E+04 
11:30:00,6.652864E-01,1.641147E+00,1.837788E+04,2.177937E+04 
11:45:00,6.652864E-01,1.617295E+00,1.837788E+04,2.166309E+04 
12:00:00,6.652864E-01,1.591136E+00,1.837788E+04,2.152088E+04 
12:15:00,6.652864E-01,1.530496E+00,1.837788E+04,2.096029E+04 
12:30:00,6.652864E-01,1.468664E+00,1.837788E+04,2.038654E+04 
12:45:00,6.652864E-01,1.406642E+00,1.837788E+04,1.981069E+04 
13:00:00,6.652864E-01,1.346277E+00,1.837788E+04,1.925349E+04 
13:15:00,6.652864E-01,1.396323E+00,1.837788E+04,1.989300E+04 
13:30:00,6.652864E-01,1.452355E+00,1.837788E+04,2.059978E+04 
13:45:00,6.652864E-01,1.513434E+00,1.837788E+04,2.136323E+04 
14:00:00,6.652864E-01,1.578113E+00,1.837788E+04,2.216702E+04 
14:15:00,6.652864E-01,1.616619E+00,1.837788E+04,2.260004E+04 
14:30:00,6.652864E-01,1.656560E+00,1.837788E+04,2.304914E+04 
14:45:00,6.652864E-01,1.698751E+00,1.837788E+04,2.352355E+04 
15:00:00,6.652864E-01,1.742375E+00,1.837788E+04,2.401413E+04 
15:15:00,6.652864E-01,1.753743E+00,1.837788E+04,2.405047E+04 
15:30:00,6.652864E-01,1.764170E+00,1.837788E+04,2.407630E+04 
15:45:00,6.652864E-01,1.772057E+00,1.837788E+04,2.407362E+04 
16:00:00,6.652864E-01,1.777174E+00,1.837788E+04,2.403980E+04 
16:15:00,6.652864E-01,1.767286E+00,1.837788E+04,2.380674E+04 
16:30:00,6.652864E-01,1.752831E+00,1.837788E+04,2.352233E+04 
16:45:00,6.652864E-01,1.733646E+00,1.837788E+04,2.318471E+04 
17:00:00,6.652864E-01,1.709317E+00,1.837788E+04,2.278920E+04 
17:15:00,6.652864E-01,1.703255E+00,1.837788E+04,2.256876E+04 
17:30:00,6.652864E-01,1.692325E+00,1.837788E+04,2.229351E+04 
17:45:00,6.652864E-01,1.675510E+00,1.837788E+04,2.195205E+04 
18:00:00,6.652864E-01,1.652178E+00,1.837788E+04,2.153729E+04 
18:15:00,6.652864E-01,1.491016E+00,1.837788E+04,1.949566E+04 
18:30:00,6.652864E-01,1.316752E+00,1.837788E+04,1.730679E+04 
18:45:00,6.652864E-01,1.128461E+00,1.837788E+04,1.496006E+04 
19:00:00,6.652864E-01,9.277022E-01,1.837788E+04,1.247293E+04 
19:15:00,6.652864E-01,7.794177E-01,1.837788E+04,1.063702E+04 
19:30:00,6.652864E-01,6.705719E-01,1.837788E+04,9.244776E+03 
19:45:00,6.652864E-01,6.306137E-01,1.837788E+04,8.627665E+03 
20:00:00,6.652864E-01,6.026132E-01,1.837788E+04,8.145093E+03 
20:15:00,6.652864E-01,5.854182E-01,1.837788E+04,7.814560E+03 
20:30:00,6.652864E-01,5.772183E-01,1.837788E+04,7.585247E+03 
20:45:00,6.652864E-01,5.772183E-01,1.837788E+04,7.448217E+03 
21:00:00,6.652864E-01,5.772183E-01,1.837788E+04,7.311187E+03 
21:15:00,6.652864E-01,5.772183E-01,1.837788E+04,7.174156E+03 
21:30:00,6.652864E-01,5.772183E-01,1.837788E+04,7.037126E+03 
21:45:00,6.652864E-01,5.772183E-01,1.837788E+04,6.900095E+03 
22:00:00,6.652864E-01,5.772183E-01,1.837788E+04,6.763065E+03 
22:15:00,6.652864E-01,5.772183E-01,1.837788E+04,6.656486E+03 
22:30:00,6.652864E-01,5.772183E-01,1.837788E+04,6.549907E+03 
22:45:00,6.652864E-01,5.772183E-01,1.837788E+04,6.443328E+03 
23:00:00,6.652864E-01,5.772183E-01,1.837788E+04,6.336748E+03 
23:15:00,6.652864E-01,5.772183E-01,1.837788E+04,6.230169E+03 
23:30:00,6.652864E-01,5.772183E-01,1.837788E+04,6.123590E+03 
23:45:00,6.652864E-01,5.772183E-01,1.837788E+04,6.017011E+03 
24:00:00,6.652864E-01,5.772183E-01,1.837788E+04,5.910432E+03 
Coinc Peak   ,6.652864E-01,1.777174E+00,1.837788E+04,2.631093E+04 
NonCoinc Peak,6.652864E-01,2.005586E+00,1.837788E+04,2.631093E+04 
