Time,VAV_1:Des Heat Mass Flow [kg/s],VAV_1:Des Cool Mass Flow [kg/s],VAV_1:Des Heat Cap [W],VAV_1:Des Sens Cool Cap [W],VAV_2:Des Heat Mass Flow [kg/s],VAV_2:Des Cool Mass Flow [kg/s],VAV_2:Des Heat Cap [W],VAV_2:Des Sens Cool Cap [W],VAV_3:Des Heat Mass Flow [kg/s],VAV_3:Des Cool Mass Flow [kg/s],VAV_3:Des Heat Cap [W],VAV_3:Des Sens Cool Cap [W],VAV_5:Des Heat Mass Flow [kg/s],VAV_5:Des Cool Mass Flow [kg/s],VAV_5:Des Heat Cap [W],VAV_5:Des Sens Cool Cap [W] 
00:05:00,4.395391E+00,3.135339E+00,9.884289E+04,3.163064E+04,4.692628E+01,3.363195E+01,9.755977E+05,3.488172E+05,6.551080E+00,3.586230E+00,8.953522E+04,3.806402E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.355683E+04 
00:10:00,4.395081E+00,3.148018E+00,9.884423E+04,3.166002E+04,4.692279E+01,3.384373E+01,9.756128E+05,3.503235E+05,6.554086E+00,3.603374E+00,8.952224E+04,3.815709E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.348106E+04 
00:15:00,4.394771E+00,3.159890E+00,9.884557E+04,3.167787E+04,4.691932E+01,3.404649E+01,9.756278E+05,3.517012E+05,6.557046E+00,3.619383E+00,8.950945E+04,3.823398E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.340529E+04 
00:20:00,4.394463E+00,3.171040E+00,9.884690E+04,3.168543E+04,4.691585E+01,3.424099E+01,9.756428E+05,3.529610E+05,6.559960E+00,3.634358E+00,8.949687E+04,3.829613E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.332952E+04 
00:25:00,4.394156E+00,3.181543E+00,9.884822E+04,3.168375E+04,4.691239E+01,3.442788E+01,9.756577E+05,3.541122E+05,6.562828E+00,3.648387E+00,8.948448E+04,3.834476E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.325376E+04 
00:30:00,4.393849E+00,3.191465E+00,9.884955E+04,3.167379E+04,4.690895E+01,3.460774E+01,9.756726E+05,3.551633E+05,6.565651E+00,3.661546E+00,8.947229E+04,3.838099E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.317799E+04 
00:35:00,4.393908E+00,3.206946E+00,9.884929E+04,3.174314E+04,4.690963E+01,3.484378E+01,9.756696E+05,3.570158E+05,6.568430E+00,3.678724E+00,8.946029E+04,3.847457E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.310222E+04 
00:40:00,4.393968E+00,3.222056E+00,9.884903E+04,3.180721E+04,4.691031E+01,3.507823E+01,9.756667E+05,3.588458E+05,6.571164E+00,3.695257E+00,8.944848E+04,3.855895E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.302645E+04 
00:45:00,4.394027E+00,3.236773E+00,9.884878E+04,3.186566E+04,4.691098E+01,3.531031E+01,9.756638E+05,3.606419E+05,6.573856E+00,3.711117E+00,8.943686E+04,3.863371E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.295068E+04 
00:50:00,4.394086E+00,3.251126E+00,9.884852E+04,3.191892E+04,4.691166E+01,3.553681E+01,9.756608E+05,3.623583E+05,6.576505E+00,3.726338E+00,8.942542E+04,3.869937E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.287492E+04 
00:55:00,4.394145E+00,3.265142E+00,9.884827E+04,3.196737E+04,4.691233E+01,3.575800E+01,9.756579E+05,3.639991E+05,6.579112E+00,3.740953E+00,8.941415E+04,3.875638E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.279915E+04 
01:00:00,4.394204E+00,3.278847E+00,9.884802E+04,3.201139E+04,4.691300E+01,3.597418E+01,9.756550E+05,3.655683E+05,6.581678E+00,3.754995E+00,8.940307E+04,3.880521E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.272338E+04 
01:05:00,4.394262E+00,3.292302E+00,9.884776E+04,3.210234E+04,4.691367E+01,3.618640E+01,9.756522E+05,3.675861E+05,6.584205E+00,3.768579E+00,8.939216E+04,3.889801E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.267287E+04 
01:10:00,4.394320E+00,3.305524E+00,9.884751E+04,3.218997E+04,4.691433E+01,3.639474E+01,9.756493E+05,3.695487E+05,6.586692E+00,3.781707E+00,8.938142E+04,3.898432E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.262236E+04 
01:15:00,4.394378E+00,3.318535E+00,9.884726E+04,3.227461E+04,4.691500E+01,3.659961E+01,9.756464E+05,3.714617E+05,6.589140E+00,3.794444E+00,8.937085E+04,3.906504E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.257184E+04 
01:20:00,4.394436E+00,3.331356E+00,9.884701E+04,3.235653E+04,4.691566E+01,3.680109E+01,9.756436E+05,3.733263E+05,6.591550E+00,3.806788E+00,8.936044E+04,3.914016E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.252133E+04 
01:25:00,4.394494E+00,3.344005E+00,9.884676E+04,3.243598E+04,4.691631E+01,3.699953E+01,9.756407E+05,3.751475E+05,6.593923E+00,3.818800E+00,8.935019E+04,3.921054E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.247082E+04 
01:30:00,4.394552E+00,3.356496E+00,9.884651E+04,3.251319E+04,4.691697E+01,3.719497E+01,9.756379E+05,3.769260E+05,6.596259E+00,3.830475E+00,8.934010E+04,3.927611E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.242031E+04 
01:35:00,4.394609E+00,3.368808E+00,9.884626E+04,3.258784E+04,4.691762E+01,3.738693E+01,9.756351E+05,3.786548E+05,6.598560E+00,3.841784E+00,8.933016E+04,3.933645E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.236979E+04 
01:40:00,4.394667E+00,3.380956E+00,9.884602E+04,3.266016E+04,4.691827E+01,3.757556E+01,9.756323E+05,3.803361E+05,6.600825E+00,3.852740E+00,8.932038E+04,3.939177E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.231928E+04 
01:45:00,4.394724E+00,3.392949E+00,9.884577E+04,3.273025E+04,4.691892E+01,3.776097E+01,9.756295E+05,3.819714E+05,6.603056E+00,3.863360E+00,8.931075E+04,3.944228E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.226877E+04 
01:50:00,4.394780E+00,3.404792E+00,9.884553E+04,3.279822E+04,4.691957E+01,3.794325E+01,9.756267E+05,3.835621E+05,6.605252E+00,3.873653E+00,8.930126E+04,3.948813E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.221826E+04 
01:55:00,4.394837E+00,3.416495E+00,9.884528E+04,3.286417E+04,4.692021E+01,3.812249E+01,9.756239E+05,3.851095E+05,6.607416E+00,3.883630E+00,8.929192E+04,3.952948E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.216775E+04 
02:00:00,4.394894E+00,3.428061E+00,9.884504E+04,3.292819E+04,4.692085E+01,3.830104E+01,9.756211E+05,3.866469E+05,6.609546E+00,3.893301E+00,8.928272E+04,3.956645E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.211723E+04 
02:05:00,4.394950E+00,3.439514E+00,9.884479E+04,3.301583E+04,4.692149E+01,3.848093E+01,9.756184E+05,3.884561E+05,6.611645E+00,3.902706E+00,8.927365E+04,3.962488E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.207935E+04 
02:10:00,4.395006E+00,3.450860E+00,9.884455E+04,3.310197E+04,4.692213E+01,3.865845E+01,9.756156E+05,3.902314E+05,6.613712E+00,3.911878E+00,8.926473E+04,3.968000E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.204147E+04 
02:15:00,4.395062E+00,3.462106E+00,9.884431E+04,3.318666E+04,4.692276E+01,3.883354E+01,9.756129E+05,3.919720E+05,6.615748E+00,3.920793E+00,8.925593E+04,3.973144E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.200358E+04 
02:20:00,4.395118E+00,3.473255E+00,9.884407E+04,3.326997E+04,4.692340E+01,3.900644E+01,9.756102E+05,3.936814E+05,6.617753E+00,3.929499E+00,8.924727E+04,3.977989E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.196570E+04 
02:25:00,4.395174E+00,3.484311E+00,9.884383E+04,3.335197E+04,4.692403E+01,3.917709E+01,9.756074E+05,3.953588E+05,6.619729E+00,3.937970E+00,8.923874E+04,3.982501E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.192781E+04 
02:30:00,4.395229E+00,3.495280E+00,9.884359E+04,3.343271E+04,4.692466E+01,3.934581E+01,9.756047E+05,3.970085E+05,6.621675E+00,3.946255E+00,8.923033E+04,3.986746E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.188993E+04 
02:35:00,4.395284E+00,3.506147E+00,9.884335E+04,3.351200E+04,4.692528E+01,3.951179E+01,9.756020E+05,3.986192E+05,6.623593E+00,3.954296E+00,8.922205E+04,3.990643E+04,1.409379E+00,1.409379E+00,5.282525E+04,1.185205E+04 
