Time,BASEMENT:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],BASEMENT:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],BASEMENT:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],BASEMENT:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_BOTTOM:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_BOTTOM:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_MID:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_MID:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],CORE_TOP:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_TOP:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_BOT_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_BOT_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_MID_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_MID_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_1:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_1:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_2:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_2:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_3:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_3:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Sens Cool Load [W],PERIMETER_TOP_ZN_4:CHICAGO ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_TOP_ZN_4:CHICAGO ANN CLG .4% CONDNS WB=>MDB:Des Cool Mass Flow [kg/s] 
00:05:00,1.297853E+04,7.373240E+03,4.388844E-01,5.087456E-01,1.242291E+04,2.491145E+04,4.200954E-01,1.718888E+00,1.388150E+05,2.719225E+05,4.694194E+00,1.876263E+01,6.367133E+04,2.945006E+04,2.153122E+00,2.032048E+00,1.604446E+04,2.377473E+03,5.424586E-01,1.640712E-01,1.068102E+04,1.632017E+03,3.611203E-01,1.126276E-01,1.580840E+04,2.126645E+03,5.344774E-01,1.467602E-01,1.066270E+04,2.108712E+03,3.605007E-01,1.455274E-01,1.804214E+05,2.489362E+04,6.099996E+00,1.717934E+00,1.183472E+05,1.700739E+04,4.001264E+00,1.173707E+00,1.791067E+05,2.268043E+04,6.055544E+00,1.565189E+00,1.201918E+05,2.310772E+04,4.063629E+00,1.594728E+00,2.478966E+04,2.668866E+03,8.381338E-01,1.841817E-01,1.612852E+04,1.818659E+03,5.452995E-01,1.255089E-01,2.470315E+04,2.470533E+03,8.352086E-01,1.704936E-01,1.638175E+04,2.405511E+03,5.538608E-01,1.660110E-01 
00:10:00,1.297451E+04,7.524893E+03,4.387484E-01,5.192095E-01,1.240739E+04,2.505021E+04,4.195708E-01,1.728462E+00,1.386286E+05,2.742247E+05,4.687892E+00,1.892147E+01,6.371908E+04,2.963752E+04,2.154736E+00,2.044982E+00,1.604237E+04,2.382341E+03,5.423879E-01,1.644074E-01,1.067968E+04,1.634479E+03,3.610748E-01,1.127977E-01,1.580629E+04,2.132360E+03,5.344059E-01,1.471548E-01,1.066135E+04,2.108130E+03,3.604551E-01,1.454874E-01,1.803979E+05,2.501291E+04,6.099202E+00,1.726170E+00,1.183321E+05,1.708146E+04,4.000752E+00,1.178821E+00,1.790829E+05,2.280856E+04,6.054742E+00,1.574034E+00,1.201767E+05,2.311342E+04,4.063117E+00,1.595123E+00,2.479545E+04,2.674773E+03,8.383296E-01,1.845896E-01,1.613227E+04,1.822088E+03,5.454262E-01,1.257457E-01,2.470896E+04,2.477820E+03,8.354051E-01,1.709967E-01,1.638549E+04,2.401446E+03,5.539874E-01,1.657305E-01 
00:15:00,1.297050E+04,7.671372E+03,4.386130E-01,5.293165E-01,1.239193E+04,2.518125E+04,4.190479E-01,1.737502E+00,1.384428E+05,2.764393E+05,4.681609E+00,1.907426E+01,6.376612E+04,2.981481E+04,2.156327E+00,2.057213E+00,1.604029E+04,2.385810E+03,5.423174E-01,1.646470E-01,1.067833E+04,1.635979E+03,3.610294E-01,1.129014E-01,1.580418E+04,2.136785E+03,5.343347E-01,1.474604E-01,1.066001E+04,2.106467E+03,3.604097E-01,1.453727E-01,1.803745E+05,2.511780E+04,6.098410E+00,1.733411E+00,1.183169E+05,1.714551E+04,4.000241E+00,1.183242E+00,1.790593E+05,2.292330E+04,6.053942E+00,1.581956E+00,1.201616E+05,2.310851E+04,4.062607E+00,1.594784E+00,2.480115E+04,2.679103E+03,8.385221E-01,1.848886E-01,1.613596E+04,1.824432E+03,5.455508E-01,1.259076E-01,2.471468E+04,2.483591E+03,8.355984E-01,1.713952E-01,1.638917E+04,2.396285E+03,5.541118E-01,1.653743E-01 
00:20:00,1.296651E+04,7.813128E+03,4.384779E-01,5.390976E-01,1.237651E+04,2.530536E+04,4.185265E-01,1.746064E+00,1.382576E+05,2.785730E+05,4.675344E+00,1.922147E+01,6.381245E+04,2.998274E+04,2.157894E+00,2.068798E+00,1.603821E+04,2.388073E+03,5.422471E-01,1.648033E-01,1.067700E+04,1.636652E+03,3.609841E-01,1.129479E-01,1.580208E+04,2.140090E+03,5.342637E-01,1.476887E-01,1.065867E+04,2.103881E+03,3.603644E-01,1.451941E-01,1.803512E+05,2.520999E+04,6.097621E+00,1.739775E+00,1.183019E+05,1.720073E+04,3.999731E+00,1.187055E+00,1.790357E+05,2.302620E+04,6.053144E+00,1.589059E+00,1.201465E+05,2.309443E+04,4.062098E+00,1.593812E+00,2.480675E+04,2.682045E+03,8.387115E-01,1.850918E-01,1.613958E+04,1.825824E+03,5.456733E-01,1.260037E-01,2.472030E+04,2.488024E+03,8.357885E-01,1.717013E-01,1.639278E+04,2.390178E+03,5.542341E-01,1.649528E-01 
00:25:00,1.296253E+04,7.950550E+03,4.383433E-01,5.485796E-01,1.236114E+04,2.542323E+04,4.180067E-01,1.754195E+00,1.380728E+05,2.806319E+05,4.669097E+00,1.936352E+01,6.385807E+04,3.014203E+04,2.159437E+00,2.079787E+00,1.603614E+04,2.389278E+03,5.421770E-01,1.648866E-01,1.067566E+04,1.636599E+03,3.609390E-01,1.129443E-01,1.579999E+04,2.142412E+03,5.341929E-01,1.478490E-01,1.065733E+04,2.100488E+03,3.603193E-01,1.449599E-01,1.803279E+05,2.529080E+04,6.096833E+00,1.745353E+00,1.182868E+05,1.724806E+04,3.999223E+00,1.190321E+00,1.790122E+05,2.311844E+04,6.052348E+00,1.595426E+00,1.201315E+05,2.307231E+04,4.061590E+00,1.592284E+00,2.481225E+04,2.683748E+03,8.388976E-01,1.852093E-01,1.614314E+04,1.826364E+03,5.457937E-01,1.260410E-01,2.472583E+04,2.491259E+03,8.359753E-01,1.719246E-01,1.639634E+04,2.383244E+03,5.543543E-01,1.644741E-01 
00:30:00,1.295856E+04,8.083974E+03,4.382091E-01,5.577857E-01,1.234582E+04,2.553546E+04,4.174884E-01,1.761937E+00,1.378886E+05,2.826213E+05,4.662868E+00,1.950076E+01,6.390300E+04,3.029332E+04,2.160956E+00,2.090224E+00,1.603407E+04,2.389575E+03,5.421072E-01,1.649071E-01,1.067433E+04,1.635924E+03,3.608940E-01,1.128977E-01,1.579790E+04,2.143886E+03,5.341222E-01,1.479508E-01,1.065600E+04,2.096409E+03,3.602743E-01,1.446783E-01,1.803047E+05,2.536158E+04,6.096048E+00,1.750238E+00,1.182719E+05,1.728843E+04,3.998717E+00,1.193108E+00,1.789887E+05,2.320126E+04,6.051555E+00,1.601143E+00,1.201165E+05,2.304325E+04,4.061084E+00,1.590278E+00,2.481767E+04,2.684359E+03,8.390806E-01,1.852515E-01,1.614664E+04,1.826156E+03,5.459121E-01,1.260266E-01,2.473126E+04,2.493434E+03,8.361590E-01,1.720748E-01,1.639984E+04,2.375597E+03,5.544725E-01,1.639462E-01 
00:35:00,1.295892E+04,8.248903E+03,4.382214E-01,5.691657E-01,1.234865E+04,2.570410E+04,4.175842E-01,1.773571E+00,1.379222E+05,2.851806E+05,4.664003E+00,1.967733E+01,6.394724E+04,3.048281E+04,2.162452E+00,2.103296E+00,1.603447E+04,2.396289E+03,5.421208E-01,1.653705E-01,1.067459E+04,1.639367E+03,3.609027E-01,1.131353E-01,1.579830E+04,2.151771E+03,5.341359E-01,1.484950E-01,1.065626E+04,2.096490E+03,3.602830E-01,1.446838E-01,1.803093E+05,2.549664E+04,6.096203E+00,1.759560E+00,1.182748E+05,1.736994E+04,3.998817E+00,1.198733E+00,1.789933E+05,2.334869E+04,6.051711E+00,1.611318E+00,1.201195E+05,2.305629E+04,4.061184E+00,1.591176E+00,2.482299E+04,2.689323E+03,8.392605E-01,1.855941E-01,1.615008E+04,1.828713E+03,5.460284E-01,1.262030E-01,2.473660E+04,2.499987E+03,8.363395E-01,1.725270E-01,1.640327E+04,2.370774E+03,5.545887E-01,1.636131E-01 
00:40:00,1.295929E+04,8.410823E+03,4.382336E-01,5.803380E-01,1.235147E+04,2.586930E+04,4.176797E-01,1.784968E+00,1.379557E+05,2.876922E+05,4.665135E+00,1.985061E+01,6.399081E+04,3.066662E+04,2.163925E+00,2.115976E+00,1.603488E+04,2.402178E+03,5.421343E-01,1.657769E-01,1.067485E+04,1.642248E+03,3.609114E-01,1.133341E-01,1.579871E+04,2.158868E+03,5.341495E-01,1.489849E-01,1.065652E+04,2.095974E+03,3.602918E-01,1.446481E-01,1.803139E+05,2.562218E+04,6.096359E+00,1.768224E+00,1.182778E+05,1.744492E+04,3.998917E+00,1.203908E+00,1.789979E+05,2.348706E+04,6.051866E+00,1.620868E+00,1.201225E+05,2.306306E+04,4.061284E+00,1.591642E+00,2.482822E+04,2.693258E+03,8.394373E-01,1.858656E-01,1.615346E+04,1.830571E+03,5.461428E-01,1.263312E-01,2.474185E+04,2.505534E+03,8.365170E-01,1.729099E-01,1.640665E+04,2.365308E+03,5.547028E-01,1.632358E-01 
00:45:00,1.295965E+04,8.569638E+03,4.382459E-01,5.912961E-01,1.235429E+04,2.603079E+04,4.177750E-01,1.796110E+00,1.379891E+05,2.901523E+05,4.666264E+00,2.002033E+01,6.403371E+04,3.084440E+04,2.165376E+00,2.128241E+00,1.603528E+04,2.407263E+03,5.421479E-01,1.661279E-01,1.067510E+04,1.644583E+03,3.609201E-01,1.134952E-01,1.579911E+04,2.165197E+03,5.341631E-01,1.494217E-01,1.065677E+04,2.094879E+03,3.603005E-01,1.445724E-01,1.803184E+05,2.573829E+04,6.096514E+00,1.776238E+00,1.182807E+05,1.751344E+04,3.999017E+00,1.208637E+00,1.790025E+05,2.361642E+04,6.052021E+00,1.629797E+00,1.201254E+05,2.306366E+04,4.061384E+00,1.591682E+00,2.483336E+04,2.696175E+03,8.396111E-01,1.860669E-01,1.615679E+04,1.831741E+03,5.462552E-01,1.264119E-01,2.474701E+04,2.510087E+03,8.366915E-01,1.732241E-01,1.640997E+04,2.359211E+03,5.548151E-01,1.628148E-01 
00:50:00,1.296001E+04,8.725517E+03,4.382582E-01,6.020516E-01,1.235710E+04,2.618883E+04,4.178701E-01,1.807013E+00,1.380224E+05,2.925632E+05,4.667390E+00,2.018666E+01,6.407595E+04,3.101644E+04,2.166804E+00,2.140110E+00,1.603567E+04,2.411616E+03,5.421613E-01,1.664283E-01,1.067536E+04,1.646422E+03,3.609288E-01,1.136221E-01,1.579951E+04,2.170825E+03,5.341766E-01,1.498101E-01,1.065703E+04,2.093264E+03,3.603091E-01,1.444608E-01,1.803230E+05,2.584562E+04,6.096668E+00,1.783645E+00,1.182837E+05,1.757598E+04,3.999117E+00,1.212953E+00,1.790070E+05,2.373738E+04,6.052175E+00,1.638145E+00,1.201283E+05,2.305863E+04,4.061483E+00,1.591333E+00,2.483841E+04,2.698147E+03,8.397820E-01,1.862029E-01,1.616006E+04,1.832273E+03,5.463657E-01,1.264485E-01,2.475208E+04,2.513715E+03,8.368630E-01,1.734744E-01,1.641323E+04,2.352538E+03,5.549254E-01,1.623541E-01 
